	Domain	"Phylum	"	"Class	"	"Order	"	Family 	"Genus	"	Species
OTU141	d:Fungi	p:Ascomycota	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU142	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Psathyrellaceae	g:Psathyrella	UNKNOWN
OTU143	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU144	d:Fungi	p:Ascomycota	c:Taphrinomycetes	o:Taphrinales	f:Taphrinaceae	g:Taphrina	UNKNOWN
OTU145	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU146	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Polyporales	UNKNOWN	UNKNOWN	UNKNOWN
OTU147	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Clavariaceae	UNKNOWN	UNKNOWN
OTU148	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Trechisporales	f:Hydnodontaceae	g:Trechispora	UNKNOWN
OTU149	d:Fungi	p:Ascomycota	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU150	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Periconiaceae	g:Periconia	s:Periconia_variicolor_SH204057.07FU
OTU151	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU152	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Filobasidiales	f:Filobasidiaceae	g:Naganishia	s:Naganishia_friedmannii_SH206550.07FU
OTU153	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Periconiaceae	g:Periconia	s:Periconia_macrospinosa_SH204049.07FU
OTU154	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	UNKNOWN	UNKNOWN	UNKNOWN
OTU155	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Bolbitiaceae	g:Bolbitius	s:Bolbitius_coprophilus_SH179570.07FU
OTU156	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU157	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU158	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Hymenochaetales	f:Hymenochaetaceae	UNKNOWN	UNKNOWN
OTU159	d:Fungi	p:Basidiomycota	c:Agaricomycetes	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU160	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Cystofilobasidiales	f:Mrakiaceae	g:Udeniomyces	s:Udeniomyces_pyricola_SH192065.07FU
OTU161	d:Fungi	p:Ascomycota	c:Sordariomycetes	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU162	d:Fungi	p:Ascomycota	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU163	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	UNKNOWN	UNKNOWN	UNKNOWN
OTU164	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreales_fam_Incertae_sedis	g:Sarocladium	s:Sarocladium_implicatum_SH210205.07FU
OTU165	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	UNKNOWN	UNKNOWN	UNKNOWN
OTU166	d:Fungi	p:Ascomycota	c:Dothideomycetes	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU167	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Amylocorticiales	f:Amylocorticiaceae	g:Plicaturopsis	s:Plicaturopsis_crispa_SH213125.07FU
OTU168	d:Fungi	p:Mortierellomycota	c:Mortierellomycetes	o:Mortierellales	f:Mortierellaceae	g:Mortierella	UNKNOWN
OTU169	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	UNKNOWN	UNKNOWN	UNKNOWN
OTU170	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Bolbitiaceae	g:Agrocybe	s:Agrocybe_smithii_SH176932.07FU
OTU171	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Sebacinales	f:Sebacinaceae	UNKNOWN	UNKNOWN
OTU172	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU173	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU174	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU175	d:Fungi	p:Ascomycota	c:Sordariomycetes	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU176	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU177	d:Fungi	p:Ascomycota	c:Pezizomycetes	o:Pezizales	UNKNOWN	UNKNOWN	UNKNOWN
OTU178	d:Fungi	p:Mortierellomycota	c:Mortierellomycetes	o:Mortierellales	UNKNOWN	UNKNOWN	UNKNOWN
OTU179	d:Fungi	p:Basidiomycota	c:Agaricomycetes	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU180	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU181	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	UNKNOWN	UNKNOWN	UNKNOWN
OTU182	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU183	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	UNKNOWN	UNKNOWN	UNKNOWN
